valve,chip,layer,device
0,w1,flow,d1
1,bb1,flow,d1
2,na1,flow,d1
3,ph1,flow,d1
4,ext11,flow,d1
5,ext21,flow,d1
6,prot1,flow,d1
7,hep1,flow,d1
8,out1,flow,d1
9,neck1,control,d1
10,b21,control,d1
11,s21,control,d1
12,s11,control,d1
13,b11,control,d1
14,in1,flow,d1
15,,,
16,w2,flow,d2
17,bb2,flow,d2
18,na2,flow,d2
19,ph2,flow,d2
20,ext12,flow,d2
21,ext22,flow,d2
22,prot2,flow,d2
23,hep2,flow,d2
24,out2,flow,d2
25,neck2,control,d2
26,b22,control,d2
27,s22,control,d2
28,s12,control,d2
29,b12,control,d2
30,in2,flow,d2
31,,,
32,w3,flow,d3
33,bb3,flow,d3
34,na3,flow,d3
35,ph3,flow,d3
36,ext13,flow,d3
37,ext23,flow,d3
38,prot3,flow,d3
39,hep3,flow,d3
40,out3,flow,d3
41,neck3,control,d3
42,b23,control,d3
43,s23,control,d3
44,s13,control,d3
45,b13,control,d3
46,in3,flow,d3
47,,,